comment,conditionInfo,dateTime,easeOfUse,effectiveness,helpful,reviewerInfo,satisfaction,supplement
Ginkgo is  the best herb for vertigo,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",8/13/2017 5:24:32 AM,,,,,,GINKGO
"Nature's Own Ginkgo 2000 x 2 day attention

Great product great company","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/1/2017 12:19:28 AM,,,,,,GINKGO
started to have moderate to severe dizziness to the point of loss of balance. I am guessing my blood is too thin since it works like a blood thinner. Talk with your provider before taking if you are already on supplements and Meds. ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",12/29/2016 5:27:32 PM,,,,,,GINKGO
"I started taking this for my memory, as I had a hard time remembering things. I noticed a little improvement. But more than that, my hands were starting to shake before taking ""ginkgo"" and after a while I noticed I had calm hands again. Praise God! ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",10/30/2016 12:17:26 PM,,,,,,GINKGO
"I had to come off of my myalgia medication to take this, but my memory was so bad that I decided to risk it.  In the last week, my memory has been much better and since it is a blood thinner, my myalgia has been completely tolerable.  I'm experimenting here, so time will tell if this pattern will continue.  The loss of memory has been debilitating and the Gingko has helped that quite a bit.  Maybe my balance is better as well?  It's definitely worth trying.  I am bruising easily again,(not massive bruises), but I always did before they 'filled up' my iron stores; so that's a return to normal for me.  It's not on the list here, but I by the Member's Mark brand from Sam's.  I've had a lot of luck with Members Mark vitamins being much better than anything I can find in a typical store.  ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/20/2016 1:23:16 PM,,,,,,GINKGO
"Improve circulation, seems to help feeling in my feet ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/29/2018 12:07:41 AM,,,,,,GINKGO
I've been taking Rexall Ginkgo Biloba 120mg once a day for over 10 years now. I do technical work and I've noticed it does help my memory especially names and locations. Now that I'm in my 50's I'm considering upping my dosage.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/16/2018 10:52:37 AM,,,,,,GINKGO
"i took this as a part of testosterone treatment and starting losing my balance right away, with itching and swelling in my left eye, making me sensitive to light and having difficulty walking and just standing up. The stuff is terrible and is not worth it.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/3/2018 12:55:03 PM,,,,,,GINKGO
"I purchased Ginkgo Biloba Extract 120 mg, brand: Spring Valley-Made in China Walmart, to increase my engineering concentration at work. I have been taking it over a whole week. 2 hrs after taking each supplement, I have experienced headaches in my left side of head. Feel like my left ear is muffed & tingling.  Heartbeat 72-75 BMP, 2 hrs later. It could be my imagination, but I feel my brain is pulsing inside very slowly. Weird experience! Left ear feels like when it is infected as it is stuffed and kind of hurts lightly inside the inner tube. Be advise that Herbal meds disappear from your blood stream and if something happens to you, your blood test might not indicate the trace. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/10/2017 12:14:44 PM,,,,,,GINKGO
"Ginko iks supposed to help with dizziness,but side effects can cause diziness,confusing.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/13/2017 4:53:38 AM,,,,,,GINKGO
"No Script or health Insurance needed to place and order with 10% discount for all purchased. It was nice to have some from them, I just hit them at. WhatsApp only: +1(252)4601212, Wickr or Kik: peterking2014. Email: ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/12/2019 5:11:05 PM,,,,,,GINKGO
"After one week of taking this product, I started waking up with a feeling of dread. I stopped it & the feeling went away. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",2/2/2019 11:16:10 AM,,,,,,GINKGO
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/14/2019 10:26:03 AM,,,,,,GINKGO
Good,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/3/2018 4:42:00 AM,,,,,,GINKGO
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/3/2018 4:24:15 AM,,,,,,GINKGO
I have been taking Glucomannan for about two months and I have seen a difference in my mid section. When I take it a half hour before meal time it does help me from eating too much...I am feeling fuller and I am not constpated at all. The nice thing is there are no side effects and it detoxs the pancreas and also helps with blood sugar levels so it does other things also,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",2/22/2011 3:02:14 PM,,,,,,GLUCOMANNAN
I use these supplement w l glutamine It does lower my hunger cravings and seems to energize me I have no side effect,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/18/2011 9:15:06 AM,,,,,,GLUCOMANNAN
"I have been having trouble losing weight all my life. I eat right, I exercise, but only seem to lose a few pounds. Since taking this drug, I have lost 3 lbs in one week. I only take 2 pills 1/2 an hour before dinner. I am looking forward to seeing more loss in the future. I will keep you posted as I progress on this regimen.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",12/25/2010 2:04:36 PM,,,,,,GLUCOMANNAN
"very bad result, i hate this product and the cheater company viker","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",12/9/2010 12:26:29 AM,,,,,,GLUCOMANNAN
Works better than Metamucil or Citrucel.  There are no uncomfortable side effects as with a laxative.  2 capsules a day makes my system work normally.  ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/10/2010 10:28:57 AM,,,,,,GLUCOMANNAN
"I used to take Metformin for insulin resistance from PCOS.  The side effects of Metformin were bothersome.  

Glucomannan controls my blood sugar. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/29/2011 10:45:25 PM,,,,,,GLUCOMANNAN
I've been using this for 3 months and it works!  I have regular bowel movements which I never had before.  I don't ever have cramping or bloating.  It really works for me!,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/24/2011 10:38:58 AM,,,,,,GLUCOMANNAN
expensive and didnt work at all.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/16/2011 11:39:42 AM,,,,,,GLUCOMANNAN
Constipation.  Did not work for me. Not giving up. Trying a different make.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/2/2011 4:23:26 PM,,,,,,GLUCOMANNAN
My lipid doc recommended Glucomannan which I have taken for 2 months. My last lab test showed a 10 point driop in my cholesterol. I have also lost 5 pounds. This works for me!A bit hard to remember to take before meals.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/31/2011 11:45:11 PM,,,,,,GLUCOMANNAN
VERY WELL,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/19/2012 5:23:35 PM,,,,,,GLUCOMANNAN
VERY WELL,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/19/2012 5:23:35 PM,,,,,,GLUCOMANNAN
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/13/2012 2:19:29 PM,,,,,,GLUCOMANNAN
"don't felt easily hungry.
mouth dryness
eat less but easily thirsty
bowel is more than usual
urinate more than usual, must have enough water ( plain water )
","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/29/2011 11:20:54 AM,,,,,,GLUCOMANNAN
"I heard about this product while watching the Dr.Oz show. It really helps to curb my appetite. I take two in the morning before breakfast and two before lunch. When I take the product, I feel fuller before my meals and after. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/13/2011 1:38:27 PM,,,,,,GLUCOMANNAN
I had the shakes and sweating. This is my first dose. Will this subside?  ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/30/2013 7:31:13 PM,,,,,,GLUCOMANNAN
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",4/26/2013 9:01:03 AM,,,,,,GLUCOMANNAN
I just started taking this about 2-3 days ago. I noticed a difference in my appetite.I dont really have one. I am not nearly eatting as much as usual and dont feel the need to eat even at breakfast or lunch. But You do need to drink a lot of water with the pills! ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/12/2013 1:21:15 PM,,,,,,GLUCOMANNAN
"I had high triglycerides (262)and was pre-diabetic (serum glucose 111.) I have been taking one Glucomannan  capsule 30 min. before each meal for about 8 months. I have had 2 sets of blood work completed and the results are amazing! Triglycerides are 56, and serum glucose is 96. My HDL (good cholesterol) is 114! The supplement did make me have loose stools for several months, but this has stopped.No impact on my weight but I wasn't needing that result. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",2/9/2013 9:44:59 AM,,,,,,GLUCOMANNAN
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/26/2012 1:34:27 PM,,,,,,GLUCOMANNAN
Today is day one for me. I took it this morning and I feel great. I had a little pain in my side but it went away quickly after drinking water. I am going to purchase another bottle today. The fiber has already startes working for me. ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",12/3/2013 3:16:36 PM,,,,,,GLUCOMANNAN
"Controlling my blood sugars has been key to increasing my energy levels, decreasing my appetite and losing weight","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/9/2013 5:15:42 PM,,,,,,GLUCOMANNAN
I have been taking Skinny Fiber that has this in it and it has helped I have been taking it for 3 months and lost 15 lbs . It also has other ingredients. I found out about this on facebook.com/looseweightnow,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",10/10/2013 9:27:56 AM,,,,,,GLUCOMANNAN
Was asked to try this by friends who have been using it. I would rather continue eating healthy real food and exercising. A quick fix is just that...a quick fix. The only way to get weight off and keep it off is to change your eating habit by making a lifestyle change. Do you have any idea just what this medication does long term? 2 yrs? 5 yrs? ten yrs down the road? My way may take longer but it is so much healthier...and maintainable! ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",10/8/2013 4:56:43 PM,,,,,,GLUCOMANNAN
"I noticed right away that is suppresses the appetite! You DO NEED to drink LOTS of water when taking this product. I bought it from amazon in the powder form, mix in an 8 oz glass of water, and drink immediately. It also helps with constipation! I have gastroparesis, and it really helps!","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/16/2013 6:18:04 PM,,,,,,GLUCOMANNAN
It has helped to control my apetite and I have lost weight.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/14/2014 2:28:49 PM,,,,,,GLUCOMANNAN
"It works on and off.I thought it would work better.I'm going to use it a little longer to see how it does.
                     hdf63x","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/24/2014 2:36:01 AM,,,,,,GLUCOMANNAN
"bothered my stomach somewhat.  I did not lose weight after 2 weeks, but I did receive relief from leg muscle pain, and my knees. I have not taken it in 3 days, my stomach feels good but I am starting to have muscle ache again. there may be a connections with its use.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/10/2014 8:14:11 PM,,,,,,GLUCOMANNAN
"I have been using a Product Called Skinny Fiber who's main ingredient is Glucomannan, before using the product I was always hungry..therefore I overate, and with overeating comes extra pounds, I had always been a member of the ""Clean Plate"" club but no more I am now able to push my plate away once full..I am also getting much more exercise by walking away from the fridge.. I am loving my Skinny Fiber. Also since taking it I have noticed an unexpected side effect. My fingernails, eyelashes, and hair are growing much more rapidly and are stronger than ever. Not sure if it is the glucomannan  Cha De bugre or Caralluma (other herbs in product) I am losing weight and feeling GREAT.  I am so happy that I found this lifechanging product.  If you would like more information on it check out their website: http://rondha.skinnyfiberplus.com/ I know that it will work for you too!! 
","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/10/2014 2:54:13 PM,,,,,,GLUCOMANNAN
Allergy to Stantins. This product works great. Dropped 114 points in my cholesterol screen in 4 weeks. And lost 10lbs. And no side effects,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",2/15/2014 7:41:19 PM,,,,,,GLUCOMANNAN
I am a gastric bypass patient who has lost 200 lbs. I use it to stop my hypoglycemia. Sometimes I insulin dump or my body produces more insulin than necessary. By using this product my blood sugar stays on a more even keel. I still insulin dump occasionally but not as severely as in the past. I can catch it much easier on those tare days than without the glucomannan. Where I had my roux n y done they are doing a study on glucomannan to test its effects on reducing insulin dumping ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/20/2015 1:27:56 PM,,,,,,GLUCOMANNAN
"I suffered with irritable bowel for 25 years I have been free of pain , losing weight, feeling great for the first time in ages can't wait for my holiday.
,","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/15/2015 2:00:22 AM,,,,,,GLUCOMANNAN
"This product did Not work at all, and a warning to all people with an allergy to Gluten!!! The affects I had with this product were almost every exactly the same as foods that have gluten in them. I had loose fatty stools, major bloating, nausea, and everything I ate made me even more nauseous than before. I was not able to think clearly at all, and ver tired as well as vey irritated. I oils strongly suggest if you really want to take this product then talk to your Dr and or search th main ingredient ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/12/2015 1:02:28 AM,,,,,,GLUCOMANNAN
"I have been taking this for a few weeks now in capsule form. I decided to try it because I have a medical condition that requires life-long corticosteroid use, and that stuff packs on the weight like crazy for the first few years you are on it, almost no matter what you eat. Since taking glucomannan, I have not noticed any decrease in my appetite or weight. I have noticed a slight increase in bowel movements (from one a day to two). I tried letting a capsule dissolve in warm water one day, and very little gel formed. I think it may be the brand or form I am using. I will try the powder form and see if it helps. At this point I would recommend it for people who need more regularity, but not for weight loss.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",12/2/2014 11:37:19 PM,,,,,,GLUCOMANNAN
i have ben on Glucomannan FOR 3 WEEKS  I HAVE LOST 13LBS  I EXCERCISE  AND EAT  LESS  I EAT 1 YOUGERT  BREAKFAST  3OZ CHICKEN  AND 1HALF  CAN GREANBEANS  FOR LUNCH  AND SAME  AT SUPPER  U WILL LOOSE WEIGHT  ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/30/2014 1:27:49 PM,,,,,,GLUCOMANNAN
"I got very nauseous to a point that I threw up after 15 min. taking this pill. After that, I was numb and nauseous, dizzy all day. I'm throwing this out. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/9/2015 10:38:53 AM,,,,,,GLUCOMANNAN
Took this fiber for a year steadily and off and on for the next year but started taking it again regularly. First year while taking it and calorie counting (My Fitness Pal app) loss 150 lbs and cholesterol dropped from 210 to 180. Totally believe in this supplement.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",8/15/2015 7:10:22 PM,,,,,,GLUCOMANNAN
"Not sure if what is in the capsules is what it says, I had terrible heart burn so opened a capsule and tasted a bit - nearly burnt my tongue!! Is this normal?","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/24/2015 3:47:46 PM,,,,,,GLUCOMANNAN
"I am also taking belviq - which at $75 per month (supposed to be taking twice a day) is pricey. With glucomman, I can take the Belviq only once per day and save big $$.  It kicks in in about three or four hours and really cuts my appetite. ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",7/16/2015 12:57:51 PM,,,,,,GLUCOMANNAN
"It definitely does what is described to do.  You must take it with 80z of water at least 30 mins ""before"" a meal to get the full benefit.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/5/2015 4:17:01 PM,,,,,,GLUCOMANNAN
"After three days, I have lost 7 pounds.  My appetite has decreased and I have been eating almost half of what I used to eat. I definitely get a sense of fullness when taking two capsules at least 15 minutes prior to meals and have not been snacking after supper.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/15/2016 8:20:50 PM,,,,,,GLUCOMANNAN
"This is my 3rd day and I feel full, but I'm very bloated. Is there something that I can do to relieve the bloatness? ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/15/2016 6:36:00 PM,,,,,,GLUCOMANNAN
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/3/2015 10:29:52 AM,,,,,,GLUCOMANNAN
No changes in hunger whatsoever.  Haven't had bloodwork to see if it affected my A1C levels or not,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",10/23/2015 3:30:24 PM,,,,,,GLUCOMANNAN
I used the product while counting calories &/or carbs for my best results.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",10/22/2015 3:08:45 PM,,,,,,GLUCOMANNAN
"don't have any issues with this product. I feel like i have eaten everything at the local buffet so there's no slipping on food plan. It's easy to take with water and am seeing a difference in how clothes fit. although it may not work for everyone, it works for me!","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",2/10/2017 1:34:10 PM,,,,,,GLUCOMANNAN
I am taking it to help with loseing some weight and so for I have lost about 10 pounds it is somewhat working just not as fast as I would like but that is a good thing. Because that way I might be able to keep it off.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",2/7/2017 5:54:29 AM,,,,,,GLUCOMANNAN
I am a voracious eater and has be taking this  for 2 weeks now. Appetite suppressant and I dont take it at night. I weight 73 kg and now 69-70 kg.  I'm Hypertensive and Hyperlipidemia too. I use my vibrating plate for my exercise and I am happy with the result. Recommending it to my son who is morbid obese. ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",12/8/2016 10:16:01 AM,,,,,,GLUCOMANNAN
it has made me less hungry so I can stay on my diet plam.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/28/2016 10:48:41 AM,,,,,,GLUCOMANNAN
Up all night sick now left with a huge migraine ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/11/2016 12:21:55 PM,,,,,,GLUCOMANNAN
"I love this product as I have issues with loosing weight due to stress. However when I take this vitamin, I do get stomach pain.  However the plus side it doesn’t make me look as bloated and has helped with weight loss. So pending on your body and own health issues use benefits versus risks (if any).  Everyone’s body is different!!!!  Instead of every day, I do my best to take it twice per week.  ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",9/4/2019 12:18:56 AM,,,,,,GLUCOMANNAN
I bought in powder form taking a little over 1/2 teaspoon daily and have been losing a pound a day without exercise... yet ! So far super happy just make sure you find a good seller,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",2/3/2019 10:49:54 PM,,,,,,GLUCOMANNAN
"First time user.took 2 before breakfast within an hour felt dissy and eyes felt funny.
My stomach and fingers swollen ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",10/8/2018 9:58:10 AM,,,,,,GLUCOMANNAN
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/2/2018 5:11:03 PM,,,,,,GLUCOMANNAN
"Glucomannan (aka konjac root) is NOT a sugar! Wish they'd correct this article.  Works great for my diabetic patients to control glucose levels, cravings, etc.  Works great for patients w/diverticulitis to help heal the gut.  Great for weight loss as it helps manage blood sugar, helps pH and gut flora, promotes a full-feeling, offsets carb load and helps w/regularity!","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/29/2017 6:51:24 PM,,,,,,GLUCOMANNAN
"I have been using IV Glutathione treatment (3g/day) to treat an impaired immune system due to Chronic Lyme Disease. For 6 months of use my recurring respiratory infections completely vanished for the first time. They resumed within 4 days of discontinuation. For those suffering from Chronic Lyme, I'd highly recommend finding a Lyme-Literate doctor and discuss ordering IV Glutathione infusions via a PICC line. You can do them daily at home yourself. I use the compounding pharmacy Infuserve to get my injectible Glutathione.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",2/4/2013 7:08:43 PM,,,,,,GLUTATHIONE
Just started taking for being tired all of the time,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/23/2013 7:49:56 PM,,,,,,GLUTATHIONE
"I tried a ""glutathione Accelerator"" for about a year.  I found no benefit.  I was told I should sleep better, think better, and should be able to stop my blood pressure medicine.  When I stopped my bp medicine after taking this product, my blood pressure sky rocketed and I had to go to ER.  I have stopped it and actually feel better-I think it upset my digestive system.  ","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",12/13/2012 3:19:22 PM,,,,,,GLUTATHIONE
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",11/2/2012 8:04:07 PM,,,,,,GLUTATHIONE
"I was diagnosed with Rheumatoid Arthritis and was told that I would have to be on pain meds the rest of my life.  I had swelling of the feet, knees, hands, with pain in other joints as well.  I changed my diet slighly and started to take Immunocal and in months the swelling was going away and I felt better.  I am down to a weight I was when I was in my 20's and feel great.  Boosting yur glutathione naturally is the way to go.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",5/7/2012 6:49:18 PM,,,,,,GLUTATHIONE
I take L-glutathione as I write this it has only been one day and almost immediately I feel better.  Last night I had two glasses of wine and this morning awaken to chest pain possibly from the way I slept.  I heard about this pill bought it at GNC took a pill and within minutes the pain was gone and I first felt a less cloudy feeling in my head and I haven't felt this great n a while.  I'm 33 I guess m getting old.  Now I need vitamins.  ,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",8/11/2013 6:55:43 PM,,,,,,GLUTATHIONE
"Reference: http://stockistph.com
""People who’ve lately been diagnosed with most cancers should consult with their physician before taking the supplement. This supplement could also be best used as a preventive measure and never a cure-all.""","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/30/2013 1:57:25 PM,,,,,,GLUTATHIONE
,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",6/24/2013 10:50:45 AM,,,,,,GLUTATHIONE
seem tohave more energy.,"
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",3/23/2013 8:23:59 PM,,,,,,GLUTATHIONE
"I lost my hearing in my right ear and had a loud buzzing. I went to the specialist and
gave me the MazEfuze as well as Cellegivity.
with in 3 days I started to get my hearing back.I noticed my gums inflamation has totally disappeard. I have no heachaces and I sleep like an angel no pain killers no melatoni to sleep, I can not believe the results in just two and half weeks.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",2/5/2013 12:18:36 AM,,,,,,GLUTATHIONE
"it has most certainly boosted my immunity. I believe my over all appearence of my skin has improved. Although i am not sure this is related, but I have never had psoriasis or eczema, I have developed something that looks like that on both elbows, first time in my life & I have noticed for the last 4 weeks I have noticed a tenderness in my left arm, in fact it hurts enough to go get it checked out.","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",2/4/2014 9:19:52 PM,,,,,,GLUTATHIONE
"Glutathione can be converted into toxic thiols by some people. The sulphur in it can be converted to toxins by some gut bacteria. It can break down into its component parts and releases free glutamate. When the body has excess nitric oxide it converts to peroxynitrite and this reacts with glutathione to make s-nitrosglutathione (a molecule involved in inflammation and vasodilatation). Gamma-Glutamyltransferase (GGT) is a glycoprotein that catalyzes the hydrolysis of glutathione to glutamate - and thus sufferers of neurological diseases like migraines and ALS are just as likely, because of all the factors wrong in their bodies, to break glutathione down into it's components, releasing glutamate (excitotoxin).  when the liver has been damaged (as from heavy metals or acetaminophen) and cause the liver's ""hepatocytes"" to release the enzyme GGT. 
Leukotriene C4 synthase is an enzyme that in humans is encoded by the LTC4S gene.[1][2]
The protein encoded by this gene, LTC4S (or glutathione S-transferase II) is an enzyme that converts leukotriene A4 and glutathione to create leukotriene C4.  .. there is more if you search.. I spent a fortune on GSH over 7 years and got sicker, not realizing it was the cause of my asthma, increased inflammation and out of control new allergies. I used lipo. gsh","
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					,
					Reason for taking:
					",1/24/2014 11:41:10 PM,,,,,,GLUTATHIONE
